sigungu,d,visitors
강릉시,2021-08-01,133217
강릉시,2021-08-02,120708
강릉시,2021-08-03,113656
강릉시,2021-08-04,100712
강릉시,2021-08-05,100440
강릉시,2021-08-06,108602
강릉시,2021-08-07,103408
강릉시,2021-08-08,108972
강릉시,2021-08-09,81224
강릉시,2021-08-10,84144
강릉시,2021-08-11,85561
강릉시,2021-08-12,91466
강릉시,2021-08-13,106967
강릉시,2021-08-14,141281
강릉시,2021-08-15,157675
강릉시,2021-08-16,123042
강릉시,2021-08-17,79230
강릉시,2021-08-18,73188
강릉시,2021-08-19,71754
강릉시,2021-08-20,88949
강릉시,2021-08-21,105770
강릉시,2021-08-22,105284
강릉시,2021-08-23,77620
강릉시,2021-08-24,68600
강릉시,2021-08-25,69738
강릉시,2021-08-26,76472
강릉시,2021-08-27,88487
강릉시,2021-08-28,121975
강릉시,2021-08-29,114076
강릉시,2021-08-30,79180
강릉시,2021-08-31,70399
강릉시,2021-09-01,52224
강릉시,2021-09-02,61478
강릉시,2021-09-03,77690
강릉시,2021-09-04,114804
강릉시,2021-09-05,100328
강릉시,2021-09-06,63042
강릉시,2021-09-07,56458
강릉시,2021-09-08,59328
강릉시,2021-09-09,66636
강릉시,2021-09-10,79877
강릉시,2021-09-11,115588
강릉시,2021-09-12,103502
강릉시,2021-09-13,66896
강릉시,2021-09-14,65457
강릉시,2021-09-15,63304
강릉시,2021-09-16,62416
강릉시,2021-09-17,70508
강릉시,2021-09-18,122521
강릉시,2021-09-19,182014
강릉시,2021-09-20,203018
강릉시,2021-09-21,178850
강릉시,2021-09-22,116666
강릉시,2021-09-23,80507
강릉시,2021-09-24,81641
강릉시,2021-09-25,98623
강릉시,2021-09-26,91938
강릉시,2021-09-27,67529
강릉시,2021-09-28,66738
강릉시,2021-09-29,62100
강릉시,2021-09-30,67109
강릉시,2021-10-01,70298
강릉시,2021-10-02,127862
강릉시,2021-10-03,149436
강릉시,2021-10-04,94164
강릉시,2021-10-05,56382
강릉시,2021-10-06,51320
강릉시,2021-10-07,57344
강릉시,2021-10-08,74746
강릉시,2021-10-09,138376
강릉시,2021-10-10,170401
강릉시,2021-10-11,104412
강릉시,2021-10-12,68078
강릉시,2021-10-13,66794
강릉시,2021-10-14,70350
강릉시,2021-10-15,77553
강릉시,2021-10-16,116501
강릉시,2021-10-17,108580
강릉시,2021-10-18,73468
강릉시,2021-10-19,66672
강릉시,2021-10-20,67602
강릉시,2021-10-21,70532
강릉시,2021-10-22,88456
강릉시,2021-10-23,136318
강릉시,2021-10-24,122224
강릉시,2021-10-25,77462
강릉시,2021-10-26,74008
강릉시,2021-10-27,72580
강릉시,2021-10-28,75712
강릉시,2021-10-29,89316
강릉시,2021-10-30,133564
강릉시,2021-10-31,118664
강릉시,2021-11-01,66486
강릉시,2021-11-02,62321
강릉시,2021-11-03,62111
강릉시,2021-11-04,66563
강릉시,2021-11-05,84878
강릉시,2021-11-06,129290
강릉시,2021-11-07,110960
강릉시,2021-11-08,62472
강릉시,2021-11-09,60564
강릉시,2021-11-10,61274
강릉시,2021-11-11,66213
강릉시,2021-11-12,83419
강릉시,2021-11-13,127120
강릉시,2021-11-14,112962
강릉시,2021-11-15,70805
강릉시,2021-11-16,67658
강릉시,2021-11-17,66440
강릉시,2021-11-18,70626
강릉시,2021-11-19,90342
강릉시,2021-11-20,132324
강릉시,2021-11-21,114586
강릉시,2021-11-22,67652
강릉시,2021-11-23,60686
강릉시,2021-11-24,60470
강릉시,2021-11-25,64995
강릉시,2021-11-26,81666
강릉시,2021-11-27,124243
강릉시,2021-11-28,110250
강릉시,2021-11-29,68170
강릉시,2021-11-30,58096
강릉시,2021-12-01,55160
강릉시,2021-12-02,59752
강릉시,2021-12-03,76251
강릉시,2021-12-04,118146
강릉시,2021-12-05,103978
