temp,rr,temp_var
-5.860999999999999,1.6873791083507514,tmax
-4.874820512820512,1.6112934812611412,tmax
-3.8886410256410247,1.5368606228312973,tmax
-2.9024615384615373,1.465106764392438,tmax
-1.9162820512820504,1.396870438621501,tmax
-0.9301025641025635,1.3328219881439975,tmax
0.056076923076924245,1.2734867953637339,tmax
1.0422564102564111,1.2192706638705504,tmax
2.028435897435898,1.1704861799197201,tmax
3.014615384615386,1.127379281321098,tmax
4.000794871794872,1.090155643632618,tmax
4.98697435897436,1.0590068542455113,tmax
5.973153846153847,1.034136688413177,tmax
6.959333333333333,1.0157881414655427,tmax
7.945512820512821,1.0042722314919892,tmax
8.931692307692307,1.0,tmax
9.917871794871795,1.0035196507128474,tmax
10.904051282051283,1.0155614430215527,tmax
11.89023076923077,1.037093887491422,tmax
12.876410256410255,1.0692821462576567,tmax
13.862589743589742,1.1117901183576708,tmax
14.84876923076923,1.1628201246277041,tmax
15.834948717948718,1.2202473086518608,tmax
16.821128205128204,1.281489702679345,tmax
17.807307692307695,1.343385573874453,tmax
18.79348717948718,1.4021384237581092,tmax
19.779666666666664,1.4533563286822895,tmax
20.765846153846155,1.4922125226171215,tmax
21.75202564102564,1.5137458553659904,tmax
22.73820512820513,1.5133010046003377,tmax
23.724384615384615,1.4884585918345845,tmax
24.7105641025641,1.4445110879745782,tmax
25.69674358974359,1.3889849348302585,tmax
26.682923076923075,1.3288828344905401,tmax
27.669102564102566,1.2703059030387933,tmax
28.65528205128205,1.2183789218711902,tmax
29.64146153846154,1.1774130408493868,tmax
30.627641025641026,1.1512447902364698,tmax
31.61382051282051,1.1437177292599507,tmax
32.6,1.1593173509195647,tmax
-14.3,1.1231774333580284,tmin
-13.300999999999998,1.197888304021426,tmin
-12.301999999999998,1.257558326520703,tmin
-11.302999999999997,1.3015991010504624,tmin
-10.303999999999995,1.3303228980619253,tmin
-9.304999999999993,1.3448103707057755,tmin
-8.305999999999992,1.3467364749980952,tmin
-7.306999999999991,1.338182108383508,tmin
-6.307999999999989,1.3214546750583074,tmin
-5.308999999999987,1.2989343867559122,tmin
-4.309999999999986,1.2729562542975554,tmin
-3.3109999999999857,1.2457316550354323,tmin
-2.3119999999999834,1.2193088072118927,tmin
-1.312999999999981,1.1955687191741142,tmin
-0.3139999999999805,1.1762521552478808,tmin
0.68500000000002,1.1630136437408003,tmin
1.6840000000000224,1.1575002917585748,tmin
2.6830000000000247,1.161100129665162,tmin
3.682000000000027,1.173368948578417,tmin
4.681000000000026,1.1933097388975142,tmin
5.680000000000028,1.220007433639996,tmin
6.6790000000000305,1.2525627388891447,tmin
7.678000000000029,1.2900342490611563,tmin
8.677000000000032,1.3313883588877469,tmin
9.676000000000034,1.3754571150555368,tmin
10.675000000000036,1.4209053800199702,tmin
11.674000000000039,1.4662097062077277,tmin
12.673000000000037,1.509652082191204,tmin
13.67200000000004,1.5493321061243073,tmin
14.671000000000042,1.5830824919510658,tmin
15.67000000000004,1.6076632732414355,tmin
16.669000000000043,1.619319703504048,tmin
17.668000000000045,1.6144651698038415,tmin
18.667000000000048,1.5899956441800691,tmin
19.66600000000005,1.5436433581550593,tmin
20.665000000000052,1.4743289281643035,tmin
21.664000000000055,1.3824543346378535,tmin
22.66300000000005,1.2700733287504868,tmin
23.662000000000052,1.140882704152398,tmin
24.661000000000058,1.0,tmin
